label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
jacket,90,88,20,0.0,1.11,8,8.89,0.15,42.22,8.99,41.57,2.1222,18.9651,Q5:3|Q3:2|Q2:2|Q6:1
petal,11,9,7,0.0,0.0,7,63.64,0.14,90.91,63.64,90.91,2.7273,22.5891,Q2:7
lane,14,14,10,28.57,7.14,7,50.0,0.14,92.86,33.33,88.89,2.0714,18.5271,Q1:4|Q3:3|Q4:3|Q2:3|Q5:2
fingertip,14,14,9,21.43,0.0,7,50.0,0.14,85.71,36.36,81.82,4.0714,0.9864,Q1:3|Q2:3|Q4:1|Q5:1
topping,14,14,11,7.14,7.14,7,50.0,0.14,78.57,50.0,75.0,2.2143,15.7614,Q2:5|Q5:2|Q7:1|Q8:1|Q1:1
fingernail,19,18,13,0.0,0.0,7,36.84,0.14,73.68,36.84,73.68,4.2632,2.8489,Q2:7
body,20,20,14,5.0,0.0,7,35.0,0.14,60.0,31.58,57.89,2.1,6.979,Q2:2|Q3:2|Q4:1|Q1:1|Q6:1
truck,20,20,15,0.0,0.0,7,35.0,0.14,50.0,35.0,50.0,1.15,14.7475,Q3:3|Q4:3|Q6:1|Q5:1
clothing,21,19,14,4.76,0.0,7,33.33,0.14,71.43,30.0,70.0,2.6667,23.6881,Q2:5|Q3:3|Q5:2|Q1:1
house,27,24,15,7.41,3.7,7,25.93,0.14,66.67,20.83,62.5,1.3704,13.7611,Q5:2|Q8:2|Q1:2|Q2:2|Q4:2
platform,29,26,15,6.9,3.45,7,24.14,0.14,44.83,19.23,38.46,1.7241,20.5955,Q2:3|Q5:3|Q3:2|Q4:2|Q1:2
bush,30,30,14,0.0,0.0,7,23.33,0.14,50.0,23.33,50.0,1.3,21.6587,Q2:6|Q5:1
buckle,34,26,17,11.76,8.82,7,20.59,0.14,52.94,11.11,40.74,2.7647,3.0518,Q1:4|Q2:3
tip,35,30,16,8.57,14.29,7,20.0,0.14,77.14,14.81,70.37,2.8857,7.2917,Q1:3|Q2:3|Q3:1
curtain,45,40,18,6.67,0.0,7,15.56,0.14,48.89,9.52,45.24,1.3556,21.2773,Q1:3|Q2:2|Q6:1|Q3:1|Q5:1
number,47,44,16,2.13,0.0,7,14.89,0.14,63.83,13.04,63.04,3.1277,5.3085,Q2:6|Q1:1|Q5:1
lace,50,48,17,4.0,4.0,7,14.0,0.14,60.0,10.87,56.52,3.0,3.9518,Q3:2|Q2:2|Q1:2|Q5:1
hat,51,45,16,3.92,0.0,7,13.73,0.14,60.78,10.2,59.18,2.5294,15.31,Q8:2|Q3:2|Q1:2|Q2:1
vent,55,48,19,10.91,12.73,7,12.73,0.14,50.91,2.38,35.71,2.3273,4.5007,Q1:6|Q2:2|Q3:1
water,59,54,19,0.0,1.69,7,11.86,0.14,35.59,12.07,34.48,1.2542,34.2888,Q2:5|Q3:1|Q8:1
tire,60,51,19,0.0,0.0,7,11.67,0.14,61.67,11.67,61.67,2.5667,12.6498,Q2:4|Q5:3|Q3:2
ceiling,68,67,20,0.0,0.0,7,10.29,0.14,44.12,10.29,44.12,1.1912,21.5347,Q2:3|Q3:2|Q5:1|Q8:1
road,76,72,19,0.0,1.32,7,9.21,0.14,40.79,9.33,40.0,1.2237,29.9468,Q2:6|Q5:1
glove,78,68,19,1.28,0.0,7,8.97,0.14,38.46,7.79,37.66,1.8333,6.4914,Q5:2|Q2:2|Q4:2|Q3:1|Q1:1
stove,10,10,10,30.0,10.0,6,60.0,0.12,70.0,50.0,50.0,1.2,19.961,Q1:3|Q8:2|Q4:1
bar,12,12,9,33.33,0.0,6,50.0,0.12,83.33,25.0,75.0,2.75,10.4283,Q1:4|Q5:2|Q4:1
peel,12,10,7,16.67,0.0,6,50.0,0.12,91.67,40.0,90.0,2.25,16.4242,Q2:4|Q1:2
pillar,14,14,11,14.29,0.0,6,42.86,0.12,64.29,33.33,58.33,2.2143,15.4207,Q2:4|Q1:2|Q3:1|Q6:1
ramp,14,11,7,7.14,0.0,6,42.86,0.12,71.43,38.46,69.23,1.3571,34.285,Q5:4|Q2:3|Q4:2|Q8:1|Q1:1
peak,15,14,10,6.67,0.0,6,40.0,0.12,80.0,35.71,78.57,2.4,4.5153,Q2:4|Q4:1|Q1:1
